"product_id";"product_name";"product_description";"product_image";"product_price";"product_category_name";"product_discount";"product_status";"product_stock";"product_stock_status";"product_brand"
1;"Sunglasses Black";"dfjkl6";"https://cdn-images-1.medium.com/v2/resize:fit:1200/1*I_2uWtYyOrZzGcCWhr2qSQ.png";100;"Men";10;1;100;"IN";"Lensecart"
2;"Sungwear";"asdfgkjl";"https://cdn-images-1.medium.com/v2/resize:fit:1200/1*I_2uWtYyOrZzGcCWhr2qSQ.png";1500;"Men";20;1;1500;"IN";"Zoho"
5;"Sunglasses Blue";"xyz";"https://cdn-images-1.medium.com/v2/resize:fit:1200/1*I_2uWtYyOrZzGcCWhr2qSQ.png";1234;"Men";10;1;100;"IN";"Zoho"
7;"Classic Wayfarers for mens";"A vintage feel with a modern touch, lorem.";"./img/s2.jpeg";180;"Men";0;1;100;"IN";"Generic"
8;"Modern Clubmasters";"Iconic and bold frame styles for any occasion.";"./img/s3.jpeg";210;"Men";0;1;100;"IN";"Generic"
9;"Polarized Sport Shades";"Ultimate comfort for outdoor adventures.";"./img/s4.jpeg";150;"Men";0;1;100;"IN";"Generic"
10;"Retro Round Frames";"Vintage-inspired frames for a timeless look.";"./img/s5.jpeg";170;"Men";0;1;100;"IN";"Generic"
11;"Stealth Wraparound Shades";"Cutting-edge design with maximum coverage.";"./img/s6.jpeg";190;"Men";0;1;100;"IN";"Generic"
12;"Lightweight Rimless Glasses";"Perfect for all-day wear with modern aesthetics.";"./img/s7.jpeg";230;"Men";0;1;100;"IN";"Generic"
13;"Premium Sports Aviators";"Engineered for active lifestyles for everyday.";"./img/s8.jpeg";220;"Men";0;1;100;"IN";"Generic"
14;"Sleek Cat-Eye for womens";"Chic frames for the fashion-forward woman.";"./img/s9.jpeg";250;"Women";0;1;100;"IN";"Generic"
15;"Elegant Round Glasses";"Minimalist and sophisticated design for womens.";"./img/s10.jpeg";220;"Women";0;1;100;"IN";"Generic"
16;"Stylish Oversized Frames";"Bold and glamorous statement eyewear for everyday.";"./img/s11.jpeg";270;"Women";0;1;100;"IN";"Generic"
17;"Vintage Butterfly Shades";"Unique design for an artistic touch for womens.";"./img/s12.jpeg";240;"Women";0;1;100;"IN";"Generic"
18;"Glitter Accent Cat-Eyes";"Sparkling accents for a dazzling effect.";"./img/s13.jpeg";260;"Women";0;1;100;"IN";"Generic"
19;"Lightweight Oval Frames";"Elegant and easy to carry everywhere.";"./img/s14.jpeg";200;"Women";0;1;100;"IN";"Generic"
20;"Rose-Tinted Aviators";"Trendy and colorful for a standout look.";"./img/s1.jpeg";280;"Women";0;1;100;"IN";"Generic"
21;"Designer Geometric Glasses";"Futuristic and bold geometric designs.";"./img/s1.jpeg";300;"Women";0;1;100;"IN";"Generic"
22;"";"";"";0;"Men";0;1;100;"IN";""
